Time: 0.000 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.004 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.008 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.012 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.016 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.020 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.024 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.028 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.032 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.036 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.040 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.044 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.048 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.052 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.056 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.060 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.064 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.068 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.072 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.076 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.080 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.084 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.088 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.092 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.096 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.100 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.104 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.108 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.112 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.116 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.120 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.124 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.128 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.132 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.136 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.140 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.144 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.148 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.152 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.156 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.160 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.164 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.168 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.172 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.176 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.180 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.184 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.188 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.192 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.196 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.200 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.204 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.208 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.212 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.216 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.220 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.224 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.228 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.232 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.236 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.240 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.244 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.248 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.252 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.256 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.260 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.264 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.268 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.272 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.276 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.280 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.284 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.288 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.292 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.296 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.300 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.304 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.308 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.312 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.316 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.320 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.324 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.328 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.332 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.336 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.340 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.344 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.348 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.352 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.356 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.360 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.364 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.368 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.372 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.376 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.380 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.384 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.388 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.392 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.396 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.400 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.404 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.408 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.412 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.416 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.420 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.424 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.428 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.432 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.436 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.440 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.444 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.448 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.452 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.456 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.460 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.464 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.468 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.472 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.476 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.480 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.484 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.488 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.492 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.496 s, ForceX: 0.000 N, ForceZ: 0.000 N
Time: 0.500 s, ForceX: 0.000 N, ForceZ: 0.000 N
