Time: 0.148 s, PosX: 0.040, PosZ: 0.193
Time: 0.156 s, PosX: 0.040, PosZ: 0.193
Time: 0.160 s, PosX: 0.040, PosZ: 0.193
Time: 0.168 s, PosX: 0.040, PosZ: 0.193
Time: 0.172 s, PosX: 0.040, PosZ: 0.193
Time: 0.180 s, PosX: 0.040, PosZ: 0.193
Time: 0.184 s, PosX: 0.040, PosZ: 0.193
Time: 0.188 s, PosX: 0.040, PosZ: 0.193
Time: 0.196 s, PosX: 0.040, PosZ: 0.193
Time: 0.200 s, PosX: 0.040, PosZ: 0.193
Time: 0.208 s, PosX: 0.040, PosZ: 0.193
Time: 0.212 s, PosX: 0.040, PosZ: 0.193
Time: 0.216 s, PosX: 0.040, PosZ: 0.193
Time: 0.224 s, PosX: 0.040, PosZ: 0.193
Time: 0.228 s, PosX: 0.040, PosZ: 0.193
Time: 0.236 s, PosX: 0.040, PosZ: 0.193
Time: 0.240 s, PosX: 0.040, PosZ: 0.193
Time: 0.244 s, PosX: 0.040, PosZ: 0.193
Time: 0.252 s, PosX: 0.040, PosZ: 0.193
Time: 0.256 s, PosX: 0.040, PosZ: 0.193
Time: 0.264 s, PosX: 0.040, PosZ: 0.193
Time: 0.268 s, PosX: 0.040, PosZ: 0.193
Time: 0.276 s, PosX: 0.040, PosZ: 0.193
Time: 0.280 s, PosX: 0.040, PosZ: 0.193
Time: 0.288 s, PosX: 0.040, PosZ: 0.193
Time: 0.292 s, PosX: 0.040, PosZ: 0.193
Time: 0.300 s, PosX: 0.040, PosZ: 0.193
Time: 0.304 s, PosX: 0.040, PosZ: 0.193
Time: 0.308 s, PosX: 0.040, PosZ: 0.193
Time: 0.312 s, PosX: 0.040, PosZ: 0.193
Time: 0.316 s, PosX: 0.040, PosZ: 0.193
Time: 0.324 s, PosX: 0.040, PosZ: 0.193
Time: 0.328 s, PosX: 0.040, PosZ: 0.193
Time: 0.336 s, PosX: 0.040, PosZ: 0.193
Time: 0.340 s, PosX: 0.040, PosZ: 0.193
Time: 0.348 s, PosX: 0.040, PosZ: 0.193
Time: 0.356 s, PosX: 0.040, PosZ: 0.193
Time: 0.364 s, PosX: 0.040, PosZ: 0.193
Time: 0.372 s, PosX: 0.040, PosZ: 0.193
Time: 0.376 s, PosX: 0.040, PosZ: 0.193
Time: 0.384 s, PosX: 0.040, PosZ: 0.193
Time: 0.388 s, PosX: 0.040, PosZ: 0.193
Time: 0.392 s, PosX: 0.040, PosZ: 0.193
Time: 0.400 s, PosX: 0.040, PosZ: 0.193
Time: 0.408 s, PosX: 0.040, PosZ: 0.193
Time: 0.416 s, PosX: 0.040, PosZ: 0.193
Time: 0.420 s, PosX: 0.040, PosZ: 0.193
Time: 0.428 s, PosX: 0.040, PosZ: 0.193
Time: 0.432 s, PosX: 0.040, PosZ: 0.193
Time: 0.436 s, PosX: 0.040, PosZ: 0.193
Time: 0.444 s, PosX: 0.040, PosZ: 0.193
Time: 0.448 s, PosX: 0.040, PosZ: 0.193
Time: 0.452 s, PosX: 0.040, PosZ: 0.193
Time: 0.460 s, PosX: 0.040, PosZ: 0.193
Time: 0.464 s, PosX: 0.040, PosZ: 0.193
Time: 0.472 s, PosX: 0.040, PosZ: 0.193
Time: 0.476 s, PosX: 0.040, PosZ: 0.193
Time: 0.484 s, PosX: 0.040, PosZ: 0.193
Time: 0.488 s, PosX: 0.040, PosZ: 0.193
Time: 0.504 s, PosX: 0.040, PosZ: 0.193
Time: 0.516 s, PosX: 0.040, PosZ: 0.193
Time: 0.524 s, PosX: 0.040, PosZ: 0.193
Time: 0.528 s, PosX: 0.040, PosZ: 0.193
Time: 0.536 s, PosX: 0.040, PosZ: 0.193
Time: 0.544 s, PosX: 0.040, PosZ: 0.193
Time: 0.548 s, PosX: 0.040, PosZ: 0.193
Time: 0.552 s, PosX: 0.040, PosZ: 0.193
Time: 0.560 s, PosX: 0.040, PosZ: 0.193
Time: 0.564 s, PosX: 0.040, PosZ: 0.193
Time: 0.572 s, PosX: 0.040, PosZ: 0.193
Time: 0.576 s, PosX: 0.040, PosZ: 0.193
Time: 0.584 s, PosX: 0.040, PosZ: 0.193
Time: 0.592 s, PosX: 0.040, PosZ: 0.193
Time: 0.596 s, PosX: 0.040, PosZ: 0.193
Time: 0.604 s, PosX: 0.040, PosZ: 0.193
Time: 0.608 s, PosX: 0.040, PosZ: 0.193
Time: 0.612 s, PosX: 0.040, PosZ: 0.193
Time: 0.616 s, PosX: 0.040, PosZ: 0.193
Time: 0.620 s, PosX: 0.040, PosZ: 0.193
Time: 0.628 s, PosX: 0.040, PosZ: 0.193
Time: 0.632 s, PosX: 0.040, PosZ: 0.193
Time: 0.640 s, PosX: 0.040, PosZ: 0.193
Time: 0.648 s, PosX: 0.040, PosZ: 0.193
Time: 0.652 s, PosX: 0.040, PosZ: 0.193
Time: 0.660 s, PosX: 0.040, PosZ: 0.193
Time: 0.664 s, PosX: 0.040, PosZ: 0.193
Time: 0.672 s, PosX: 0.040, PosZ: 0.193
Time: 0.676 s, PosX: 0.040, PosZ: 0.193
Time: 0.684 s, PosX: 0.040, PosZ: 0.193
Time: 0.688 s, PosX: 0.040, PosZ: 0.193
Time: 0.692 s, PosX: 0.040, PosZ: 0.193
Time: 0.700 s, PosX: 0.040, PosZ: 0.193
Time: 0.704 s, PosX: 0.040, PosZ: 0.193
Time: 0.708 s, PosX: 0.040, PosZ: 0.193
Time: 0.712 s, PosX: 0.040, PosZ: 0.193
Time: 0.720 s, PosX: 0.040, PosZ: 0.193
Time: 0.724 s, PosX: 0.040, PosZ: 0.193
Time: 0.728 s, PosX: 0.040, PosZ: 0.193
Time: 0.736 s, PosX: 0.040, PosZ: 0.193
Time: 0.740 s, PosX: 0.040, PosZ: 0.193
Time: 0.744 s, PosX: 0.040, PosZ: 0.193
Time: 0.748 s, PosX: 0.040, PosZ: 0.193
Time: 0.756 s, PosX: 0.040, PosZ: 0.193
Time: 0.760 s, PosX: 0.040, PosZ: 0.193
Time: 0.768 s, PosX: 0.040, PosZ: 0.193
Time: 0.772 s, PosX: 0.040, PosZ: 0.193
Time: 0.776 s, PosX: 0.040, PosZ: 0.193
Time: 0.784 s, PosX: 0.040, PosZ: 0.193
Time: 0.788 s, PosX: 0.040, PosZ: 0.193
Time: 0.792 s, PosX: 0.040, PosZ: 0.193
Time: 0.796 s, PosX: 0.040, PosZ: 0.193
Time: 0.804 s, PosX: 0.040, PosZ: 0.193
Time: 0.808 s, PosX: 0.040, PosZ: 0.193
Time: 0.816 s, PosX: 0.040, PosZ: 0.193
Time: 0.820 s, PosX: 0.040, PosZ: 0.193
Time: 0.828 s, PosX: 0.040, PosZ: 0.193
Time: 0.832 s, PosX: 0.040, PosZ: 0.193
Time: 0.836 s, PosX: 0.040, PosZ: 0.193
Time: 0.844 s, PosX: 0.040, PosZ: 0.193
Time: 0.848 s, PosX: 0.040, PosZ: 0.193
Time: 0.852 s, PosX: 0.040, PosZ: 0.193
Time: 0.860 s, PosX: 0.040, PosZ: 0.193
Time: 0.864 s, PosX: 0.040, PosZ: 0.193
Time: 0.868 s, PosX: 0.040, PosZ: 0.193
Time: 0.876 s, PosX: 0.040, PosZ: 0.193
Time: 0.880 s, PosX: 0.040, PosZ: 0.193
Time: 0.888 s, PosX: 0.040, PosZ: 0.193
Time: 0.892 s, PosX: 0.040, PosZ: 0.193
Time: 0.900 s, PosX: 0.040, PosZ: 0.193
Time: 0.904 s, PosX: 0.040, PosZ: 0.193
Time: 0.908 s, PosX: 0.040, PosZ: 0.193
Time: 0.916 s, PosX: 0.040, PosZ: 0.193
Time: 0.920 s, PosX: 0.040, PosZ: 0.193
Time: 0.928 s, PosX: 0.040, PosZ: 0.193
Time: 0.932 s, PosX: 0.040, PosZ: 0.193
Time: 0.936 s, PosX: 0.040, PosZ: 0.193
Time: 0.944 s, PosX: 0.040, PosZ: 0.193
Time: 0.948 s, PosX: 0.040, PosZ: 0.193
Time: 0.952 s, PosX: 0.040, PosZ: 0.193
Time: 0.960 s, PosX: 0.040, PosZ: 0.193
Time: 0.964 s, PosX: 0.040, PosZ: 0.193
Time: 0.968 s, PosX: 0.040, PosZ: 0.193
Time: 0.976 s, PosX: 0.040, PosZ: 0.193
Time: 0.980 s, PosX: 0.040, PosZ: 0.193
Time: 0.984 s, PosX: 0.040, PosZ: 0.193
Time: 0.988 s, PosX: 0.040, PosZ: 0.193
Time: 0.996 s, PosX: 0.040, PosZ: 0.193
Time: 1.000 s, PosX: 0.040, PosZ: 0.193
Time: 1.004 s, PosX: 0.040, PosZ: 0.193
Time: 1.012 s, PosX: 0.040, PosZ: 0.193
Time: 1.016 s, PosX: 0.040, PosZ: 0.193
Time: 1.020 s, PosX: 0.040, PosZ: 0.193
Time: 1.028 s, PosX: 0.040, PosZ: 0.193
Time: 1.032 s, PosX: 0.040, PosZ: 0.193
Time: 1.036 s, PosX: 0.040, PosZ: 0.193
Time: 1.040 s, PosX: 0.040, PosZ: 0.193
Time: 1.048 s, PosX: 0.040, PosZ: 0.193
Time: 1.052 s, PosX: 0.040, PosZ: 0.193
Time: 1.060 s, PosX: 0.040, PosZ: 0.193
Time: 1.064 s, PosX: 0.040, PosZ: 0.193
Time: 1.072 s, PosX: 0.040, PosZ: 0.193
Time: 1.076 s, PosX: 0.040, PosZ: 0.193
Time: 1.080 s, PosX: 0.040, PosZ: 0.193
Time: 1.088 s, PosX: 0.040, PosZ: 0.193
Time: 1.092 s, PosX: 0.040, PosZ: 0.193
Time: 1.100 s, PosX: 0.040, PosZ: 0.193
Time: 1.104 s, PosX: 0.040, PosZ: 0.193
Time: 1.108 s, PosX: 0.040, PosZ: 0.193
Time: 1.116 s, PosX: 0.040, PosZ: 0.193
Time: 1.120 s, PosX: 0.040, PosZ: 0.193
Time: 1.124 s, PosX: 0.040, PosZ: 0.193
Time: 1.132 s, PosX: 0.040, PosZ: 0.193
Time: 1.136 s, PosX: 0.040, PosZ: 0.193
Time: 1.140 s, PosX: 0.040, PosZ: 0.193
Time: 1.144 s, PosX: 0.040, PosZ: 0.193
Time: 1.152 s, PosX: 0.040, PosZ: 0.193
Time: 1.156 s, PosX: 0.040, PosZ: 0.193
Time: 1.160 s, PosX: 0.040, PosZ: 0.193
Time: 1.168 s, PosX: 0.040, PosZ: 0.193
Time: 1.172 s, PosX: 0.040, PosZ: 0.193
Time: 1.176 s, PosX: 0.040, PosZ: 0.193
Time: 1.180 s, PosX: 0.040, PosZ: 0.193
Time: 1.188 s, PosX: 0.040, PosZ: 0.193
Time: 1.192 s, PosX: 0.040, PosZ: 0.193
Time: 1.196 s, PosX: 0.040, PosZ: 0.193
Time: 1.204 s, PosX: 0.040, PosZ: 0.193
Time: 1.208 s, PosX: 0.040, PosZ: 0.193
Time: 1.212 s, PosX: 0.040, PosZ: 0.193
Time: 1.220 s, PosX: 0.040, PosZ: 0.193
Time: 1.224 s, PosX: 0.040, PosZ: 0.193
Time: 1.228 s, PosX: 0.040, PosZ: 0.193
Time: 1.236 s, PosX: 0.040, PosZ: 0.193
Time: 1.240 s, PosX: 0.040, PosZ: 0.193
Time: 1.244 s, PosX: 0.040, PosZ: 0.193
Time: 1.248 s, PosX: 0.040, PosZ: 0.193
Time: 1.256 s, PosX: 0.040, PosZ: 0.193
Time: 1.260 s, PosX: 0.040, PosZ: 0.193
Time: 1.264 s, PosX: 0.040, PosZ: 0.193
Time: 1.276 s, PosX: 0.040, PosZ: 0.193
Time: 1.284 s, PosX: 0.040, PosZ: 0.193
Time: 1.292 s, PosX: 0.040, PosZ: 0.193
Time: 1.296 s, PosX: 0.040, PosZ: 0.193
Time: 1.300 s, PosX: 0.040, PosZ: 0.193
Time: 1.304 s, PosX: 0.040, PosZ: 0.193
Time: 1.312 s, PosX: 0.040, PosZ: 0.193
Time: 1.316 s, PosX: 0.040, PosZ: 0.193
Time: 1.324 s, PosX: 0.040, PosZ: 0.193
Time: 1.328 s, PosX: 0.040, PosZ: 0.193
Time: 1.332 s, PosX: 0.040, PosZ: 0.193
Time: 1.336 s, PosX: 0.040, PosZ: 0.193
Time: 1.340 s, PosX: 0.040, PosZ: 0.193
Time: 1.344 s, PosX: 0.040, PosZ: 0.193
Time: 1.348 s, PosX: 0.040, PosZ: 0.193
Time: 1.356 s, PosX: 0.040, PosZ: 0.193
Time: 1.360 s, PosX: 0.040, PosZ: 0.193
Time: 1.364 s, PosX: 0.040, PosZ: 0.193
Time: 1.372 s, PosX: 0.040, PosZ: 0.193
Time: 1.376 s, PosX: 0.040, PosZ: 0.193
Time: 1.380 s, PosX: 0.040, PosZ: 0.193
Time: 1.388 s, PosX: 0.040, PosZ: 0.193
Time: 1.392 s, PosX: 0.040, PosZ: 0.193
Time: 1.400 s, PosX: 0.040, PosZ: 0.193
Time: 1.404 s, PosX: 0.040, PosZ: 0.193
Time: 1.408 s, PosX: 0.040, PosZ: 0.193
Time: 1.416 s, PosX: 0.040, PosZ: 0.193
Time: 1.420 s, PosX: 0.040, PosZ: 0.193
Time: 1.424 s, PosX: 0.040, PosZ: 0.193
Time: 1.428 s, PosX: 0.040, PosZ: 0.193
Time: 1.436 s, PosX: 0.040, PosZ: 0.193
Time: 1.440 s, PosX: 0.040, PosZ: 0.193
Time: 1.444 s, PosX: 0.040, PosZ: 0.193
Time: 1.452 s, PosX: 0.040, PosZ: 0.193
Time: 1.456 s, PosX: 0.040, PosZ: 0.193
Time: 1.460 s, PosX: 0.040, PosZ: 0.193
Time: 1.464 s, PosX: 0.040, PosZ: 0.193
Time: 1.468 s, PosX: 0.040, PosZ: 0.193
Time: 1.472 s, PosX: 0.040, PosZ: 0.193
Time: 1.476 s, PosX: 0.040, PosZ: 0.193
Time: 1.484 s, PosX: 0.040, PosZ: 0.193
Time: 1.488 s, PosX: 0.040, PosZ: 0.193
Time: 1.492 s, PosX: 0.040, PosZ: 0.193
Time: 1.500 s, PosX: 0.040, PosZ: 0.193
Time: 1.504 s, PosX: 0.040, PosZ: 0.193
Time: 1.508 s, PosX: 0.040, PosZ: 0.193
Time: 1.516 s, PosX: 0.040, PosZ: 0.193
Time: 1.520 s, PosX: 0.040, PosZ: 0.193
Time: 1.524 s, PosX: 0.040, PosZ: 0.193
Time: 1.528 s, PosX: 0.040, PosZ: 0.193
Time: 1.536 s, PosX: 0.040, PosZ: 0.193
Time: 1.540 s, PosX: 0.040, PosZ: 0.193
Time: 1.544 s, PosX: 0.040, PosZ: 0.193
Time: 1.552 s, PosX: 0.040, PosZ: 0.193
Time: 1.556 s, PosX: 0.040, PosZ: 0.193
Time: 1.560 s, PosX: 0.040, PosZ: 0.193
Time: 1.568 s, PosX: 0.040, PosZ: 0.193
Time: 1.572 s, PosX: 0.040, PosZ: 0.193
Time: 1.576 s, PosX: 0.040, PosZ: 0.193
Time: 1.584 s, PosX: 0.040, PosZ: 0.193
Time: 1.584 s, PosX: 0.040, PosZ: 0.193
Time: 1.592 s, PosX: 0.040, PosZ: 0.193
Time: 1.596 s, PosX: 0.040, PosZ: 0.193
Time: 1.600 s, PosX: 0.040, PosZ: 0.193
Time: 1.608 s, PosX: 0.040, PosZ: 0.193
Time: 1.612 s, PosX: 0.040, PosZ: 0.193
Time: 1.620 s, PosX: 0.040, PosZ: 0.193
Time: 1.624 s, PosX: 0.040, PosZ: 0.193
Time: 1.628 s, PosX: 0.040, PosZ: 0.193
Time: 1.636 s, PosX: 0.040, PosZ: 0.193
Time: 1.640 s, PosX: 0.040, PosZ: 0.193
Time: 1.648 s, PosX: 0.040, PosZ: 0.193
Time: 1.652 s, PosX: 0.040, PosZ: 0.193
Time: 1.660 s, PosX: 0.040, PosZ: 0.193
Time: 1.664 s, PosX: 0.040, PosZ: 0.193
Time: 1.672 s, PosX: 0.040, PosZ: 0.193
Time: 1.676 s, PosX: 0.040, PosZ: 0.193
Time: 1.680 s, PosX: 0.040, PosZ: 0.193
Time: 1.688 s, PosX: 0.040, PosZ: 0.193
Time: 1.692 s, PosX: 0.040, PosZ: 0.193
Time: 1.696 s, PosX: 0.040, PosZ: 0.193
Time: 1.700 s, PosX: 0.040, PosZ: 0.193
Time: 1.704 s, PosX: 0.040, PosZ: 0.193
Time: 1.712 s, PosX: 0.040, PosZ: 0.193
Time: 1.716 s, PosX: 0.040, PosZ: 0.193
Time: 1.720 s, PosX: 0.040, PosZ: 0.193
Time: 1.728 s, PosX: 0.040, PosZ: 0.193
Time: 1.732 s, PosX: 0.040, PosZ: 0.193
Time: 1.736 s, PosX: 0.040, PosZ: 0.193
Time: 1.744 s, PosX: 0.040, PosZ: 0.193
Time: 1.748 s, PosX: 0.040, PosZ: 0.193
Time: 1.756 s, PosX: 0.040, PosZ: 0.193
Time: 1.760 s, PosX: 0.040, PosZ: 0.193
Time: 1.768 s, PosX: 0.040, PosZ: 0.193
Time: 1.772 s, PosX: 0.040, PosZ: 0.193
Time: 1.776 s, PosX: 0.040, PosZ: 0.193
Time: 1.784 s, PosX: 0.040, PosZ: 0.193
Time: 1.788 s, PosX: 0.040, PosZ: 0.193
Time: 1.796 s, PosX: 0.040, PosZ: 0.193
Time: 1.800 s, PosX: 0.040, PosZ: 0.193
Time: 1.804 s, PosX: 0.040, PosZ: 0.193
Time: 1.812 s, PosX: 0.040, PosZ: 0.193
Time: 1.816 s, PosX: 0.040, PosZ: 0.193
Time: 1.820 s, PosX: 0.040, PosZ: 0.193
Time: 1.824 s, PosX: 0.040, PosZ: 0.193
Time: 1.828 s, PosX: 0.040, PosZ: 0.193
Time: 1.832 s, PosX: 0.040, PosZ: 0.193
Time: 1.840 s, PosX: 0.040, PosZ: 0.193
Time: 1.844 s, PosX: 0.040, PosZ: 0.193
Time: 1.848 s, PosX: 0.040, PosZ: 0.193
Time: 1.856 s, PosX: 0.040, PosZ: 0.193
Time: 1.860 s, PosX: 0.040, PosZ: 0.193
Time: 1.864 s, PosX: 0.040, PosZ: 0.193
Time: 1.872 s, PosX: 0.040, PosZ: 0.193
Time: 1.876 s, PosX: 0.040, PosZ: 0.193
Time: 1.880 s, PosX: 0.040, PosZ: 0.193
Time: 1.884 s, PosX: 0.040, PosZ: 0.193
Time: 1.892 s, PosX: 0.040, PosZ: 0.193
Time: 1.896 s, PosX: 0.040, PosZ: 0.193
Time: 1.904 s, PosX: 0.040, PosZ: 0.193
Time: 1.908 s, PosX: 0.040, PosZ: 0.193
Time: 1.912 s, PosX: 0.040, PosZ: 0.193
Time: 1.920 s, PosX: 0.040, PosZ: 0.193
Time: 1.924 s, PosX: 0.040, PosZ: 0.193
Time: 1.928 s, PosX: 0.040, PosZ: 0.193
Time: 1.932 s, PosX: 0.040, PosZ: 0.193
Time: 1.940 s, PosX: 0.040, PosZ: 0.193
Time: 1.944 s, PosX: 0.040, PosZ: 0.193
Time: 1.948 s, PosX: 0.040, PosZ: 0.193
Time: 1.956 s, PosX: 0.040, PosZ: 0.193
Time: 1.960 s, PosX: 0.040, PosZ: 0.193
Time: 1.964 s, PosX: 0.040, PosZ: 0.193
Time: 1.972 s, PosX: 0.040, PosZ: 0.193
Time: 1.976 s, PosX: 0.040, PosZ: 0.193
Time: 1.980 s, PosX: 0.040, PosZ: 0.193
Time: 1.988 s, PosX: 0.040, PosZ: 0.193
Time: 1.992 s, PosX: 0.040, PosZ: 0.193
Time: 2.000 s, PosX: 0.040, PosZ: 0.193
Time: 2.004 s, PosX: 0.040, PosZ: 0.193
Time: 2.008 s, PosX: 0.040, PosZ: 0.193
Time: 2.016 s, PosX: 0.040, PosZ: 0.193
Time: 2.020 s, PosX: 0.040, PosZ: 0.193
Time: 2.024 s, PosX: 0.040, PosZ: 0.193
Time: 2.032 s, PosX: 0.040, PosZ: 0.193
Time: 2.036 s, PosX: 0.040, PosZ: 0.193
Time: 2.044 s, PosX: 0.040, PosZ: 0.193
Time: 2.048 s, PosX: 0.040, PosZ: 0.193
Time: 2.056 s, PosX: 0.040, PosZ: 0.193
Time: 2.060 s, PosX: 0.040, PosZ: 0.193
Time: 2.064 s, PosX: 0.040, PosZ: 0.193
Time: 2.072 s, PosX: 0.040, PosZ: 0.193
Time: 2.076 s, PosX: 0.040, PosZ: 0.193
Time: 2.084 s, PosX: 0.040, PosZ: 0.193
Time: 2.088 s, PosX: 0.040, PosZ: 0.193
Time: 2.096 s, PosX: 0.040, PosZ: 0.193
Time: 2.100 s, PosX: 0.040, PosZ: 0.193
Time: 2.108 s, PosX: 0.040, PosZ: 0.193
Time: 2.112 s, PosX: 0.040, PosZ: 0.193
Time: 2.120 s, PosX: 0.040, PosZ: 0.193
Time: 2.128 s, PosX: 0.040, PosZ: 0.193
Time: 2.136 s, PosX: 0.040, PosZ: 0.193
Time: 2.140 s, PosX: 0.040, PosZ: 0.193
Time: 2.148 s, PosX: 0.040, PosZ: 0.193
Time: 2.152 s, PosX: 0.040, PosZ: 0.193
Time: 2.156 s, PosX: 0.040, PosZ: 0.193
Time: 2.164 s, PosX: 0.040, PosZ: 0.193
Time: 2.168 s, PosX: 0.040, PosZ: 0.193
Time: 2.172 s, PosX: 0.040, PosZ: 0.193
Time: 2.180 s, PosX: 0.040, PosZ: 0.193
Time: 2.184 s, PosX: 0.040, PosZ: 0.193
Time: 2.188 s, PosX: 0.040, PosZ: 0.193
Time: 2.192 s, PosX: 0.040, PosZ: 0.193
Time: 2.196 s, PosX: 0.040, PosZ: 0.193
