Time: 0.000 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.004 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.008 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.012 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.016 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.020 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.024 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.028 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.032 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.036 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.040 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.044 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.048 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.052 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.056 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.060 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.064 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.068 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.072 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.076 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.080 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.084 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.088 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.092 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.096 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.100 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.104 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.108 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.112 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.116 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.120 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.124 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.128 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.132 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.136 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.140 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.144 s, deltaX: -0.040, deltaZ: 2.280
Time: 0.148 s, deltaX: -0.060, deltaZ: 2.261
Time: 0.152 s, deltaX: -0.060, deltaZ: 2.261
Time: 0.156 s, deltaX: -0.079, deltaZ: 2.243
Time: 0.160 s, deltaX: -0.096, deltaZ: 2.225
Time: 0.164 s, deltaX: -0.096, deltaZ: 2.225
Time: 0.168 s, deltaX: -0.113, deltaZ: 2.209
Time: 0.172 s, deltaX: -0.129, deltaZ: 2.194
Time: 0.176 s, deltaX: -0.129, deltaZ: 2.194
Time: 0.180 s, deltaX: -0.144, deltaZ: 2.179
Time: 0.184 s, deltaX: -0.158, deltaZ: 2.166
Time: 0.188 s, deltaX: -0.171, deltaZ: 2.153
Time: 0.192 s, deltaX: -0.171, deltaZ: 2.153
Time: 0.196 s, deltaX: -0.184, deltaZ: 2.140
Time: 0.200 s, deltaX: -0.196, deltaZ: 2.129
Time: 0.204 s, deltaX: -0.196, deltaZ: 2.129
Time: 0.208 s, deltaX: -0.207, deltaZ: 2.118
Time: 0.212 s, deltaX: -0.217, deltaZ: 2.108
Time: 0.216 s, deltaX: -0.227, deltaZ: 2.098
Time: 0.220 s, deltaX: -0.227, deltaZ: 2.098
Time: 0.224 s, deltaX: -0.237, deltaZ: 2.089
Time: 0.228 s, deltaX: -0.246, deltaZ: 2.080
Time: 0.232 s, deltaX: -0.246, deltaZ: 2.080
Time: 0.236 s, deltaX: -0.254, deltaZ: 2.072
Time: 0.240 s, deltaX: -0.262, deltaZ: 2.064
Time: 0.244 s, deltaX: -0.270, deltaZ: 2.056
Time: 0.248 s, deltaX: -0.270, deltaZ: 2.056
Time: 0.252 s, deltaX: -0.277, deltaZ: 2.049
Time: 0.256 s, deltaX: -0.284, deltaZ: 2.043
Time: 0.260 s, deltaX: -0.284, deltaZ: 2.043
Time: 0.264 s, deltaX: -0.290, deltaZ: 2.037
Time: 0.268 s, deltaX: -0.296, deltaZ: 2.031
Time: 0.272 s, deltaX: -0.296, deltaZ: 2.031
Time: 0.276 s, deltaX: -0.302, deltaZ: 2.025
Time: 0.280 s, deltaX: -0.307, deltaZ: 2.020
Time: 0.284 s, deltaX: -0.307, deltaZ: 2.020
Time: 0.288 s, deltaX: -0.312, deltaZ: 2.015
Time: 0.292 s, deltaX: -0.317, deltaZ: 2.010
Time: 0.296 s, deltaX: -0.317, deltaZ: 2.010
Time: 0.300 s, deltaX: -0.322, deltaZ: 2.006
Time: 0.304 s, deltaX: -0.326, deltaZ: 2.002
Time: 0.308 s, deltaX: -0.330, deltaZ: 1.998
Time: 0.312 s, deltaX: -0.334, deltaZ: 1.994
Time: 0.316 s, deltaX: -0.338, deltaZ: 1.991
Time: 0.320 s, deltaX: -0.338, deltaZ: 1.991
Time: 0.324 s, deltaX: -0.341, deltaZ: 1.987
Time: 0.328 s, deltaX: -0.344, deltaZ: 1.984
Time: 0.332 s, deltaX: -0.344, deltaZ: 1.984
Time: 0.336 s, deltaX: -0.347, deltaZ: 1.981
Time: 0.340 s, deltaX: -0.350, deltaZ: 1.978
Time: 0.344 s, deltaX: -0.350, deltaZ: 1.978
Time: 0.348 s, deltaX: -0.353, deltaZ: 1.976
Time: 0.352 s, deltaX: -0.353, deltaZ: 1.976
Time: 0.356 s, deltaX: -0.356, deltaZ: 1.973
Time: 0.360 s, deltaX: -0.356, deltaZ: 1.973
Time: 0.364 s, deltaX: -0.358, deltaZ: 1.971
Time: 0.368 s, deltaX: -0.358, deltaZ: 1.971
Time: 0.372 s, deltaX: -0.360, deltaZ: 1.969
Time: 0.376 s, deltaX: -0.363, deltaZ: 1.966
Time: 0.380 s, deltaX: -0.363, deltaZ: 1.966
Time: 0.384 s, deltaX: -0.365, deltaZ: 1.964
Time: 0.388 s, deltaX: -0.367, deltaZ: 1.963
Time: 0.392 s, deltaX: -0.368, deltaZ: 1.961
Time: 0.396 s, deltaX: -0.368, deltaZ: 1.961
Time: 0.400 s, deltaX: -0.370, deltaZ: 1.959
Time: 0.404 s, deltaX: -0.370, deltaZ: 1.959
Time: 0.408 s, deltaX: -0.372, deltaZ: 1.957
Time: 0.412 s, deltaX: -0.372, deltaZ: 1.957
Time: 0.416 s, deltaX: -0.373, deltaZ: 1.956
Time: 0.420 s, deltaX: -0.375, deltaZ: 1.955
Time: 0.424 s, deltaX: -0.375, deltaZ: 1.955
Time: 0.428 s, deltaX: -0.376, deltaZ: 1.953
Time: 0.432 s, deltaX: -0.377, deltaZ: 1.952
Time: 0.436 s, deltaX: -0.379, deltaZ: 1.951
Time: 0.440 s, deltaX: -0.379, deltaZ: 1.951
Time: 0.444 s, deltaX: -0.380, deltaZ: 1.950
Time: 0.448 s, deltaX: -0.381, deltaZ: 1.948
Time: 0.452 s, deltaX: -0.382, deltaZ: 1.947
Time: 0.456 s, deltaX: -0.382, deltaZ: 1.947
Time: 0.460 s, deltaX: -0.383, deltaZ: 1.946
Time: 0.464 s, deltaX: -0.384, deltaZ: 1.946
Time: 0.468 s, deltaX: -0.384, deltaZ: 1.946
Time: 0.472 s, deltaX: -0.385, deltaZ: 1.945
Time: 0.476 s, deltaX: -0.386, deltaZ: 1.944
Time: 0.480 s, deltaX: -0.386, deltaZ: 1.944
Time: 0.484 s, deltaX: -0.386, deltaZ: 1.943
Time: 0.488 s, deltaX: -0.387, deltaZ: 1.942
Time: 0.492 s, deltaX: -0.387, deltaZ: 1.942
Time: 0.496 s, deltaX: -0.387, deltaZ: 1.942
Time: 0.500 s, deltaX: -0.387, deltaZ: 1.942
Time: 0.504 s, deltaX: -0.388, deltaZ: 1.942
Time: 0.508 s, deltaX: -0.388, deltaZ: 1.942
Time: 0.512 s, deltaX: -0.388, deltaZ: 1.942
Time: 0.516 s, deltaX: -0.389, deltaZ: 1.941
Time: 0.520 s, deltaX: -0.389, deltaZ: 1.941
Time: 0.524 s, deltaX: -0.389, deltaZ: 1.940
Time: 0.528 s, deltaX: -0.390, deltaZ: 1.940
Time: 0.532 s, deltaX: -0.390, deltaZ: 1.940
Time: 0.536 s, deltaX: -0.390, deltaZ: 1.939
Time: 0.540 s, deltaX: -0.390, deltaZ: 1.939
Time: 0.544 s, deltaX: -0.391, deltaZ: 1.939
Time: 0.548 s, deltaX: -0.391, deltaZ: 1.938
Time: 0.552 s, deltaX: -0.392, deltaZ: 1.938
Time: 0.556 s, deltaX: -0.392, deltaZ: 1.938
Time: 0.560 s, deltaX: -0.392, deltaZ: 1.937
Time: 0.564 s, deltaX: -0.393, deltaZ: 1.937
Time: 0.568 s, deltaX: -0.393, deltaZ: 1.937
Time: 0.572 s, deltaX: -0.393, deltaZ: 1.937
Time: 0.576 s, deltaX: -0.394, deltaZ: 1.936
Time: 0.580 s, deltaX: -0.394, deltaZ: 1.936
Time: 0.584 s, deltaX: -0.394, deltaZ: 1.936
Time: 0.588 s, deltaX: -0.394, deltaZ: 1.936
Time: 0.592 s, deltaX: -0.394, deltaZ: 1.936
Time: 0.596 s, deltaX: -0.395, deltaZ: 1.935
Time: 0.600 s, deltaX: -0.395, deltaZ: 1.935
Time: 0.604 s, deltaX: -0.395, deltaZ: 1.935
Time: 0.608 s, deltaX: -0.395, deltaZ: 1.935
Time: 0.612 s, deltaX: -0.395, deltaZ: 1.934
Time: 0.616 s, deltaX: -0.396, deltaZ: 1.934
Time: 0.620 s, deltaX: -0.396, deltaZ: 1.934
Time: 0.624 s, deltaX: -0.396, deltaZ: 1.934
Time: 0.628 s, deltaX: -0.396, deltaZ: 1.934
Time: 0.632 s, deltaX: -0.396, deltaZ: 1.934
Time: 0.636 s, deltaX: -0.396, deltaZ: 1.934
Time: 0.640 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.644 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.648 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.652 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.656 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.660 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.664 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.668 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.672 s, deltaX: -0.397, deltaZ: 1.933
Time: 0.676 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.680 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.684 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.688 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.692 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.696 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.700 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.704 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.708 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.712 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.716 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.720 s, deltaX: -0.398, deltaZ: 1.932
Time: 0.724 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.728 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.732 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.736 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.740 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.744 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.748 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.752 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.756 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.760 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.764 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.768 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.772 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.776 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.780 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.784 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.788 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.792 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.796 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.800 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.804 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.808 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.812 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.816 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.820 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.824 s, deltaX: -0.399, deltaZ: 1.931
Time: 0.828 s, deltaX: -0.399, deltaZ: 1.930
Time: 0.832 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.836 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.840 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.844 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.848 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.852 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.856 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.860 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.864 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.868 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.872 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.876 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.880 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.884 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.888 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.892 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.896 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.900 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.904 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.908 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.912 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.916 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.920 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.924 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.928 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.932 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.936 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.940 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.944 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.948 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.952 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.956 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.960 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.964 s, deltaX: -0.400, deltaZ: 1.930
Time: 0.968 s, deltaX: -0.400, deltaZ: 1.930
